[1000000038/uoren, 1000000009/igerk, 1000000048/qouez, 1000000037/sitew, 1000000155/gslag, 1000000197/ufnja, 1000000065/rezop] original
[1000000155/gslag, 1000000065/rezop, 1000000037/sitew, 1000000197/ufnja, 1000000038/uoren, 1000000048/qouez, 1000000009/igerk] d=10
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000155/gslag, 1000000065/rezop, 1000000197/ufnja] d=9
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=8
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=7
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=6
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=5
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=4
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=3
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=2
[1000000009/igerk, 1000000037/sitew, 1000000038/uoren, 1000000048/qouez, 1000000065/rezop, 1000000155/gslag, 1000000197/ufnja] d=1
